Category	Variants	Gene
Splice-altering	1	DNASE1
Splice-altering	1	DNASE1L1
Splice-altering	1	DNM1
Splice-altering	1	DNMBP
Splice-altering	1	DNPEP
Splice-altering	1	DOCK10
Splice-altering	1	DOCK3
Splice-altering	1	DOK1
Splice-altering	1	DOK4
Splice-altering	1	DOK5
Splice-altering	1	DOLPP1
Splice-altering	1	DPAGT1
Splice-altering	1	DPCD
Splice-altering	1	DPH5
Splice-altering	1	DPH6
Splice-altering	1	DPP4
Splice-altering	1	DPPA2
Splice-altering	1	DPY19L1
Splice-altering	1	DPYS
Splice-altering	1	DPYSL2
Splice-altering	1	DRD2
Splice-altering	1	DTL
Splice-altering	1	DTX2P1-UPK3BP1-PMS2P11
Splice-altering	1	DTX3
Splice-altering	1	DTX4
Splice-altering	1	DUOX1
Splice-altering	1	DUOX2
Splice-altering	1	DUS3L
Splice-altering	1	DUS4L
Splice-altering	1	DUS4L-BCAP29
Splice-altering	1	DUSP1
Splice-altering	1	DUSP11
Splice-altering	1	DUSP3
Splice-altering	1	DUT
Splice-altering	1	DVL1
Splice-altering	1	DYNC1LI1
Splice-altering	1	DYNC1LI2
Splice-altering	1	DYNC2LI1
Splice-altering	1	DYNLL2
Splice-altering	1	DYNLT2
Splice-altering	1	DYNLT3
Splice-altering	1	DYRK4
Splice-altering	1	DZIP1
Splice-altering	1	E2F1
Splice-altering	1	E2F4
Splice-altering	1	E2F7
Splice-altering	1	EAPP
Splice-altering	1	EARS2
Splice-altering	1	EBAG9
Splice-altering	1	EBP
Splice-altering	1	ECH1
Splice-altering	1	ECHDC1
Splice-altering	1	ECHDC3
Splice-altering	1	ECHS1
Splice-altering	1	ECI1
Splice-altering	1	ECI2
Splice-altering	1	EDA
Splice-altering	1	EDEM2
Splice-altering	1	EDN1
Splice-altering	1	EEF1A1
Splice-altering	1	EEF1A1P31
Splice-altering	1	EEF1AKMT1
Splice-altering	1	EEF1B2
Splice-altering	1	EEF2K
Splice-altering	1	EEFSEC
Splice-altering	1	EFHD1
Splice-altering	1	EFNB3
Splice-altering	1	EFS
Splice-altering	1	EHF
Splice-altering	1	EHHADH
Splice-altering	1	EI24
Splice-altering	1	EIF2AK2
Splice-altering	1	EIF2AK3
Splice-altering	1	EIF2D
Splice-altering	1	EIF2S2
Splice-altering	1	EIF3A
Splice-altering	1	EIF3C
Splice-altering	1	EIF3E
Splice-altering	1	EIF4B
Splice-altering	1	EIF4E
Splice-altering	1	EIF4EBP3
Splice-altering	1	EIF4ENIF1
Splice-altering	1	EIPR1
Splice-altering	1	ELAPOR2
Splice-altering	1	ELF1
Splice-altering	1	ELK4
Splice-altering	1	ELL
Splice-altering	1	ELL3
Splice-altering	1	ELMO1
Splice-altering	1	ELOC
Splice-altering	1	ELOF1
Splice-altering	1	ELOVL7
Splice-altering	1	ELP3
Splice-altering	1	ELP6
Splice-altering	1	EMC3
Splice-altering	1	EMC8
Splice-altering	1	EMC9
Splice-altering	1	EMILIN1
Splice-altering	1	ENC1
Splice-altering	1	ENO1
Splice-altering	1	ENO2
Splice-altering	1	ENOPH1
Splice-altering	1	ENPP1
Splice-altering	1	ENSA
Splice-altering	1	ENTHD1
Splice-altering	1	ENTPD5
Splice-altering	1	ENTPD6
Splice-altering	1	ENTREP2
Splice-altering	1	ENY2
Splice-altering	1	EOLA2
Splice-altering	1	EPAS1
Splice-altering	1	EPB41L2
Splice-altering	1	EPB41L4A
Splice-altering	1	EPB41L5
Splice-altering	1	EPC1
Splice-altering	1	EPC2
Splice-altering	1	EPHA1
Splice-altering	1	EPHA3
Splice-altering	1	EPHB1
Splice-altering	1	EPHB3
Splice-altering	1	EPHB6
Splice-altering	1	EPS8L2
Splice-altering	1	EPS8L3
Splice-altering	1	EPSTI1
Splice-altering	1	ERAL1
Splice-altering	1	ERAP2
Splice-altering	1	ERBB3
Splice-altering	1	ERBB4
Splice-altering	1	ERC1
Splice-altering	1	ERCC3
Splice-altering	1	ERCC8
Splice-altering	1	EREG
Splice-altering	1	ERF
Splice-altering	1	ERGIC2
Splice-altering	1	ERI1
